icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,departure_airport_icao,arrival_airport_icao,departure_airport_name,arrival_airport_name,departure_city,arrival_city,departure_lat,departure_lon,arrival_lat,arrival_lon,airline,route_confidence,route_distance_km,anomaly
4d2244,RYR774X,Malta,1753811174,1753811175,5.6632,50.0458,11277.6,False,243.7,117.81,0.0,,11612.88,3445,False,0,EIDW,EGGW,Dublin Airport,London Luton,Dublin,London,53.4213,-6.27,51.8747,-0.3683,Ryanair,high,677.2094849147124,0
4c0262,ASL28H,Serbia,1753811174,1753811175,7.9279,51.2185,4541.52,False,167.09,291.11,-13.33,,4671.06,1776,False,0,EDDF,EHAM,Frankfurt Airport,Amsterdam Schiphol,Frankfurt,Amsterdam,50.0379,8.5622,52.3105,4.7683,Unknown,medium,490.8960156472752,0
4d2218,RYR70HG,Malta,1753811175,1753811175,12.057,46.6865,11056.62,False,222.76,232.6,0.65,,11399.52,2224,False,0,EIDW,LFPG,Dublin Airport,Paris Charles de Gaulle,Dublin,Paris,53.4213,-6.27,49.0097,2.5479,Ryanair,high,1094.4486014452073,0
4d2229,RYR2WH,Malta,1753811175,1753811175,11.6982,46.7075,6964.68,False,233.25,182.4,-12.03,,7223.76,2524,False,0,EGKK,EGKK,London Gatwick,London Gatwick,London,London,51.1481,-0.1903,51.1481,-0.1903,Ryanair,high,0.0,0
4c0242,ASL91Y,Serbia,1753811175,1753811175,14.8009,46.0687,1722.12,False,131.47,278.1,-2.6,,1836.42,2245,False,0,LOWW,EDDM,Vienna Airport,Munich Airport,Vienna,Munich,48.1103,16.5697,48.3538,11.7861,Unknown,medium,531.6670719805866,0
4d226a,RYR856Y,Malta,1753811174,1753811175,11.2001,45.4478,11330.94,False,220.29,245.29,2.6,,11711.94,7757,False,0,EGKK,LSZH,London Gatwick,Zurich Airport,London,Zurich,51.1481,-0.1903,47.4647,8.5492,Ryanair,high,1052.7242329665498,0
4d225f,RYR75FA,Malta,1753811175,1753811175,10.9012,51.7491,11277.6,False,245.69,99.52,0.0,,11513.82,3406,False,0,EGKK,LSZH,London Gatwick,Zurich Airport,London,Zurich,51.1481,-0.1903,47.4647,8.5492,Ryanair,high,1052.7242329665498,0
4d2273,RYR4169,Malta,1753811175,1753811175,11.6257,46.6399,11574.78,False,214.75,316.94,0.0,,10500.36,6011,False,0,EIDW,EDDF,Dublin Airport,Frankfurt Airport,Dublin,Frankfurt,53.4213,-6.27,50.0379,8.5622,Ryanair,high,1688.6655581021366,0
4d2272,RYR10GF,Malta,1753811175,1753811175,13.67,49.5465,11277.6,False,238.92,105.74,0.0,,11536.68,1000,False,0,EIDW,EGKK,Dublin Airport,London Gatwick,Dublin,London,53.4213,-6.27,51.1481,-0.1903,Ryanair,high,720.4762834791511,0
4d227c,RYR73NL,Malta,1753811175,1753811175,10.3969,49.6735,11582.4,False,212.12,293.89,0.0,,11894.82,3114,False,0,EGKK,EGLL,London Gatwick,London Heathrow,London,London,51.1481,-0.1903,51.47,-0.4543,Ryanair,high,46.21062248888231,0
4d2280,RYR5BX,Malta,1753811174,1753811175,7.0027,48.5643,10668.0,False,225.44,155.89,0.0,,11003.28,0115,False,0,EIDW,LEMD,Dublin Airport,Madrid Barajas,Dublin,Madrid,53.4213,-6.27,40.4983,-3.5676,Ryanair,high,1465.481235068522,0
4cabde,DLH2NE,Ireland,1753811174,1753811175,9.6125,53.774,10058.4,False,246.29,171.11,0.0,,10180.32,1000,False,0,EDDM,EGLL,Munich Airport,London Heathrow,Munich,London,48.3538,11.7861,51.47,-0.4543,Lufthansa,high,1402.0231323222167,0
4d2250,RYR36WM,Malta,1753811175,1753811175,12.0187,48.1083,10972.8,False,211.62,14.64,0.0,,11285.22,7357,False,0,EGKK,EDDM,London Gatwick,Munich Airport,London,Munich,51.1481,-0.1903,48.3538,11.7861,Ryanair,high,1365.0846134556823,0
4d2269,RYR4RC,Malta,1753811174,1753811175,8.3004,48.6673,2438.4,False,187.71,12.67,0.0,,2575.56,3507,False,0,EIDW,LFPG,Dublin Airport,Paris Charles de Gaulle,Dublin,Paris,53.4213,-6.27,49.0097,2.5479,Ryanair,high,1094.4486014452073,0
4d225a,RYR5103,Malta,1753811175,1753811175,7.2892,47.3887,11277.6,False,237.47,143.28,-0.33,,11658.6,0534,False,0,EGKK,EHAM,London Gatwick,Amsterdam Schiphol,London,Amsterdam,51.1481,-0.1903,52.3105,4.7683,Ryanair,high,565.3256013998657,0
3c55c5,EWG7WR,Germany,1753811175,1753811175,14.873,50.3457,11574.78,False,229.89,322.18,0.0,,11856.72,2666,False,0,LOWW,EDDM,Vienna Airport,Munich Airport,Vienna,Munich,48.1103,16.5697,48.3538,11.7861,Unknown,medium,531.6670719805866,0
3d0e31,DEDPX,Germany,1753811100,1753811101,9.0817,49.9411,266.7,False,24.89,288.06,-0.33,,,7000,False,0,EDDF,LSZH,Frankfurt Airport,Zurich Airport,Frankfurt,Zurich,50.0379,8.5622,47.4647,8.5492,Unknown,medium,285.6288450490251,1
49328d,NJE363N,Portugal,1753811174,1753811175,8.0974,47.2868,3048.0,False,147.83,354.41,-8.13,,3177.54,1000,False,0,LSZH,LIMC,Zurich Airport,Milan Malpensa,Zurich,Milan,47.4647,8.5492,45.6306,8.7281,Unknown,medium,204.5512872959248,0
